"","varObjBin","humid","humid90","temp","temp90","h10pix","h10pix90","trees","trees90","Xmin","Xmax","Ymin","Ymax"
"1","No",-2.18781652500837,-1.75259231031319,-2.0460399652999,-1.42684041955659,-0.52524143061233,-0.518298636006207,-0.951672452597495,-1.17396534003284,0.917782088936729,0.947777549275242,0.775953639431528,0.732848798454005
"2","No",-1.23557032155194,-1.24019902018682,-0.762670480072412,-0.586778144028492,-1.3943124177943,-1.36217313271515,-0.951672452597495,-1.19135718561848,0.788692322572003,0.78593563387589,0.66910439394798,0.690418686106922
"3","No",-1.32691658167831,-1.04955480745703,-1.4363224728026,-0.630165099678453,-0.504540538382974,-0.543590358844795,-0.951672452597495,-1.18440044738423,0.885509647345548,0.866856591575566,0.69047424304469,0.711633742280463
"4","No",-2.1278960083917,-2.10658506474619,-1.72116940284004,-1.74236542190098,-0.516908480704021,-0.558536783454931,-0.951672452597495,-1.205270662087,0.861305316152161,0.842580304265663,0.647734544851271,0.66920362993338
"5","No",-1.04739595289686,-1.02500731085468,-0.032880722138663,0.036028685901804,-1.0043710943629,-1.06537403632868,-0.951672452597495,-1.22614087678977,0.764487991378617,0.78593563387589,0.583624997561142,0.584343405239213
"6","No",-1.06281109710025,-1.05587690312171,-0.815689414447288,-0.363122105673768,-1.29775468261053,-1.36217313271515,-0.951672452597495,-1.21918413855551,0.820964764163185,0.802119825415825,0.711844092141399,0.711633742280463
"7","No",-1.5566885992673,-1.56611124497425,-1.14576013507047,-0.815749811408875,-0.459481302379638,-0.506419278141187,-0.951672452597495,-1.22614087678977,0.869373426549957,0.850672400035631,0.583624997561142,0.584343405239213
"8","No",-2.12237974273062,-2.18947193332139,-1.41241157524932,-1.37423504259375,-1.29775468261053,-0.874687134351431,-0.951672452597495,-1.22614087678977,0.812896653765389,0.81830401695576,0.647734544851271,0.626773517586297
"9","No",-1.11531222992316,-1.13441887636711,0.247807509022883,0.345367794340928,-0.318168522749728,0.286488257981439,-0.951672452597495,-1.22614087678977,0.804828543367594,0.802119825415825,0.562255148464433,0.478268124371505
"10","No",-1.11337486048821,-1.1174605600794,-0.409732923679067,-0.287194393327384,-1.2215773916027,-1.06537403632868,-0.951672452597495,-1.205270662087,0.764487991378617,0.78593563387589,0.647734544851271,0.647988573759838
"11","No",-1.37939115495639,-1.4507079072767,-1.02880043960164,-1.189839978361,-0.45184868232833,-0.506419278141187,-0.951672452597495,-1.22614087678977,0.901645868141138,0.874948687345534,0.626364695754561,0.690418686106922
"12","No",-2.13853801015317,-2.17852057308209,-2.18118641367752,-2.21733490842045,-0.473364350148015,-0.523126871628431,-0.951672452597495,-1.22614087678977,0.909713978538934,0.883040783115501,0.66910439394798,0.711633742280463
"13","No",-1.69755596052283,-1.47335071218609,-1.47894593892853,-0.988536167755111,-0.44544622385866,-0.499942283637847,-0.867914395812898,0.0330287436106772,0.925850199334525,0.899224974655437,0.66910439394798,0.690418686106922
"14","No",-1.27043084679599,-1.17392512808765,-0.995016149305176,-0.682982860496538,-0.45184868232833,-0.506419278141187,-0.930732938401346,-1.19483555473561,0.917782088936729,0.883040783115501,0.647734544851271,0.690418686106922
"15","No",-1.61502440396821,-1.66580459079697,-1.22372727716438,-1.28605328452091,-0.45184868232833,-0.506419278141187,-0.951672452597495,-1.22614087678977,0.893577757743343,0.866856591575566,0.604994846657852,0.647988573759838
"16","No",-0.914308006628464,-0.842533090167635,-0.448711230249044,-0.234052204067914,-0.44544622385866,-0.499942283637847,-0.951672452597495,-1.11483306504166,0.909713978538934,0.891132878885469,0.604994846657852,0.66920362993338
"17","No",-0.907623579001943,-0.952051172137132,0.458841653392354,0.4881095559643,-0.160813312446093,0.391719223278663,-0.951672452597495,-1.22614087678977,0.772556101776412,0.769751442335954,0.498145601174304,0.478268124371505
"18","No",-1.81056519677577,-1.74115523275792,-1.23464232252326,-0.813253363939767,-0.596513291374012,-0.55877433903639,-0.951672452597495,-1.22614087678977,0.837100984958775,0.834488208495696,0.604994846657852,0.605558461412755
"19","No",-1.38190474481287,-1.34165305334118,-0.963306538825821,-0.768351395180589,-0.45184868232833,-0.506419278141187,-0.951672452597495,-1.19831392385274,0.901645868141138,0.874948687345534,0.583624997561142,0.626773517586297
"20","No",-1.79536235972054,-1.81876366924868,-1.68270451661877,-1.8451909909342,-0.478289288189614,-0.524123326248975,-0.909793424205197,-1.16353023268146,0.885509647345548,0.866856591575566,0.647734544851271,0.690418686106922
"21","No",-1.15110150620002,-1.1688137125963,-0.0204057557377236,0.14666563010379,-0.403399381630112,0.0183918384066395,-0.951672452597495,-1.22614087678977,0.837100984958775,0.834488208495696,0.519515450271014,0.478268124371505
"22","No",-0.684263013408838,-0.758951752466318,-0.150358269634559,-0.261166683598094,-0.653144941799582,-0.710058985031052,-0.909793424205197,-1.16353023268146,0.885509647345548,0.858764495805598,0.733213941238109,0.775278910801089
"23","No",-1.06818707177668,-0.999541656983698,-1.0433588302052,-0.552065051776696,-0.5188211550228,-0.543590358844795,-0.951672452597495,-1.19135718561848,0.901645868141138,0.883040783115501,0.733213941238109,0.732848798454005
"24","No",-1.91773610034601,-1.83912587747207,-1.73884216285108,-1.61220788780119,-0.467113922430959,-0.509507869084968,-0.951672452597495,-1.22614087678977,0.877441536947752,0.858764495805598,0.604994846657852,0.66920362993338
"25","No",-1.40067511902399,-1.36348377448896,-0.539679191586261,-0.403255194189955,-0.468194004039535,-0.512507942419527,-0.951672452597495,-1.22614087678977,0.853237205754366,0.842580304265663,0.540885299367723,0.563128349065672
"26","No",-1.45707742009971,-1.28552995421721,-0.713805783152232,-0.453803383395972,-0.45184868232833,-0.502111964965356,-0.951672452597495,-1.22614087678977,0.885509647345548,0.866856591575566,0.562255148464433,0.563128349065672
"27","No",-0.924309507288596,-0.94597961683276,-0.282905486600533,-0.280359754254976,-1.07126839701888,-0.748227599196459,-0.951672452597495,-1.19135718561848,0.861305316152161,0.834488208495696,0.733213941238109,0.732848798454005
"28","No",-0.866910471596297,-0.912340635765768,-0.404013143791628,-0.252050488307403,-1.29775468261053,-1.12267987342464,-0.951672452597495,-1.19135718561848,0.845169095356571,0.81830401695576,0.733213941238109,0.711633742280463
"29","No",-1.1477804371947,-1.02890468496357,-0.777228870675962,-0.50455729075702,-0.653144941799582,-0.608737529932198,-0.951672452597495,-1.22614087678977,0.869373426549957,0.850672400035631,0.711844092141399,0.732848798454005
"30","No",-1.12203030441241,-1.01515288402717,-0.56930737063113,-0.304554905358702,-0.772657629952011,-0.830963013992684,-0.930732938401346,-1.19135718561848,-0.131072262776672,-0.152747475440356,0.66910439394798,0.711633742280463
"31","No",-1.07046178192397,-1.14586355898376,-0.519407267084901,-0.671381023122237,-0.772657629952011,-0.830963013992684,-0.909793424205197,-1.19135718561848,-0.106867931583286,-0.144655379670388,0.69047424304469,0.754063854627547
"32","No",-0.726118851576459,-0.73603995311622,-0.382181803875938,-0.446209946832591,-0.844667535641894,-0.903811243395322,-0.951672452597495,-1.205270662087,-0.179480925163444,-0.201300050060162,0.69047424304469,0.732848798454005
"33","No",-0.306185204823984,-0.380897174981214,-0.0474391127422257,-0.178953600770418,-0.837622620441778,-0.896684312819544,-0.658519253851406,-0.982655038590784,-0.211753366754626,-0.249852624679967,0.66910439394798,0.732848798454005
"34","No",-0.242530156530282,-0.317184674067595,-0.064068435569103,-0.196303785310941,-0.837622620441778,-0.896684312819544,-0.658519253851406,-0.982655038590784,-0.219821477152421,-0.257944720449935,0.66910439394798,0.732848798454005
"35","No",-0.929348024106945,-0.995568356026497,-0.423243415677284,-0.541981659664511,-0.837622620441778,-0.896684312819544,-0.951672452597495,-1.22614087678977,-0.211753366754626,-0.249852624679967,0.626364695754561,0.66920362993338
"36","No",-1.00120721882984,-1.0713022735389,-0.476786299354845,-0.578321840643814,-0.878495223435651,-0.938032745797687,-0.721337796439854,-0.90960928713109,-0.131072262776672,-0.168931666980291,0.69047424304469,0.732848798454005
"37","No",-0.892414246865674,-0.855712769013494,-0.401929779074625,-0.449785368833102,-0.837622620441778,-0.896684312819544,-0.951672452597495,-1.205270662087,-0.203685256356831,-0.217484241600097,0.647734544851271,0.66920362993338
"38","No",-0.624270930500865,-0.69926999270795,-0.341637954873231,-0.485905618944669,-0.856940800128986,-0.916227390567148,-0.951672452597495,-1.22614087678977,-0.147208483572263,-0.185115858520226,0.711844092141399,0.775278910801089
